"","station","parameter","time","value","unit","qaqc_flag_id"
"1","FRK","DissolvedOxygen",2021-01-01 00:00:00,10.1,"mg/L","G"
"2","FRK","DissolvedOxygen",2021-01-01 00:15:00,10.06,"mg/L","G"
"3","FRK","DissolvedOxygen",2021-01-01 00:30:00,10.04,"mg/L","G"
"4","FRK","DissolvedOxygen",2021-01-01 00:45:00,10.04,"mg/L","G"
"5","FRK","DissolvedOxygen",2021-01-01 01:00:00,10.04,"mg/L","G"
"6","FRK","DissolvedOxygen",2021-01-01 01:15:00,10.06,"mg/L","G"
"7","FRK","DissolvedOxygen",2021-01-01 01:30:00,10.06,"mg/L","G"
"8","FRK","DissolvedOxygen",2021-01-01 01:45:00,10.05,"mg/L","G"
"9","FRK","DissolvedOxygen",2021-01-01 02:00:00,10.03,"mg/L","G"
"10","FRK","DissolvedOxygen",2021-01-01 02:15:00,10.03,"mg/L","G"
"11","FRK","DissolvedOxygen",2021-01-01 02:30:00,10,"mg/L","G"
"12","FRK","DissolvedOxygen",2021-01-01 02:45:00,10.02,"mg/L","G"
"13","FRK","DissolvedOxygen",2021-01-01 03:00:00,9.96,"mg/L","G"
"14","FRK","DissolvedOxygen",2021-01-01 03:15:00,9.97,"mg/L","G"
"15","FRK","DissolvedOxygen",2021-01-01 03:30:00,10,"mg/L","G"
"16","FRK","DissolvedOxygen",2021-01-01 03:45:00,10.03,"mg/L","G"
"17","FRK","DissolvedOxygen",2021-01-01 04:00:00,10.06,"mg/L","G"
"18","FRK","DissolvedOxygen",2021-01-01 04:15:00,10.07,"mg/L","G"
"19","FRK","DissolvedOxygen",2021-01-01 04:30:00,10.04,"mg/L","G"
"20","FRK","DissolvedOxygen",2021-01-01 04:45:00,10.02,"mg/L","G"
"21","FRK","DissolvedOxygen",2021-01-01 05:00:00,10,"mg/L","G"
"22","FRK","DissolvedOxygen",2021-01-01 05:15:00,9.98,"mg/L","G"
"23","FRK","DissolvedOxygen",2021-01-01 05:30:00,9.97,"mg/L","G"
"24","FRK","DissolvedOxygen",2021-01-01 05:45:00,9.97,"mg/L","G"
"25","FRK","DissolvedOxygen",2021-01-01 06:00:00,9.98,"mg/L","G"
"26","FRK","DissolvedOxygen",2021-01-01 06:15:00,9.97,"mg/L","G"
"27","FRK","DissolvedOxygen",2021-01-01 06:30:00,9.97,"mg/L","G"
"28","FRK","DissolvedOxygen",2021-01-01 06:45:00,9.98,"mg/L","G"
"29","FRK","DissolvedOxygen",2021-01-01 07:00:00,9.99,"mg/L","G"
"30","FRK","DissolvedOxygen",2021-01-01 07:15:00,10,"mg/L","G"
"31","FRK","DissolvedOxygen",2021-01-01 07:30:00,9.99,"mg/L","G"
"32","FRK","DissolvedOxygen",2021-01-01 07:45:00,9.98,"mg/L","G"
"33","FRK","DissolvedOxygen",2021-01-01 08:00:00,9.99,"mg/L","G"
"34","FRK","DissolvedOxygen",2021-01-01 08:15:00,10.01,"mg/L","G"
"35","FRK","DissolvedOxygen",2021-01-01 08:30:00,10.02,"mg/L","G"
"36","FRK","DissolvedOxygen",2021-01-01 08:45:00,9.99,"mg/L","G"
"37","FRK","DissolvedOxygen",2021-01-01 09:00:00,9.97,"mg/L","G"
"38","FRK","DissolvedOxygen",2021-01-01 09:15:00,9.99,"mg/L","G"
"39","FRK","DissolvedOxygen",2021-01-01 09:30:00,9.97,"mg/L","G"
"40","FRK","DissolvedOxygen",2021-01-01 09:45:00,9.94,"mg/L","G"
"41","FRK","DissolvedOxygen",2021-01-01 10:00:00,9.92,"mg/L","G"
"42","FRK","DissolvedOxygen",2021-01-01 10:15:00,9.91,"mg/L","G"
"43","FRK","DissolvedOxygen",2021-01-01 10:30:00,9.88,"mg/L","G"
"44","FRK","DissolvedOxygen",2021-01-01 10:45:00,9.86,"mg/L","G"
"45","FRK","DissolvedOxygen",2021-01-01 11:00:00,9.85,"mg/L","G"
"46","FRK","DissolvedOxygen",2021-01-01 11:15:00,9.85,"mg/L","G"
"47","FRK","DissolvedOxygen",2021-01-01 11:30:00,9.84,"mg/L","G"
"48","FRK","DissolvedOxygen",2021-01-01 11:45:00,9.85,"mg/L","G"
"49","FRK","DissolvedOxygen",2021-01-01 12:00:00,9.85,"mg/L","G"
"50","FRK","DissolvedOxygen",2021-01-01 12:15:00,9.87,"mg/L","G"
"51","FRK","DissolvedOxygen",2021-01-01 12:30:00,9.86,"mg/L","G"
"52","FRK","DissolvedOxygen",2021-01-01 12:45:00,9.87,"mg/L","G"
"53","FRK","DissolvedOxygen",2021-01-01 13:00:00,9.9,"mg/L","G"
"54","FRK","DissolvedOxygen",2021-01-01 13:15:00,9.91,"mg/L","G"
"55","FRK","DissolvedOxygen",2021-01-01 13:30:00,9.94,"mg/L","G"
"56","FRK","DissolvedOxygen",2021-01-01 13:45:00,9.97,"mg/L","G"
"57","FRK","DissolvedOxygen",2021-01-01 14:00:00,10.01,"mg/L","G"
"58","FRK","DissolvedOxygen",2021-01-01 14:15:00,10.05,"mg/L","G"
"59","FRK","DissolvedOxygen",2021-01-01 14:30:00,10.06,"mg/L","G"
"60","FRK","DissolvedOxygen",2021-01-01 14:45:00,10.05,"mg/L","G"
"61","FRK","DissolvedOxygen",2021-01-01 15:00:00,10.1,"mg/L","G"
"62","FRK","DissolvedOxygen",2021-01-01 15:15:00,10.14,"mg/L","G"
"63","FRK","DissolvedOxygen",2021-01-01 15:30:00,10.15,"mg/L","G"
"64","FRK","DissolvedOxygen",2021-01-01 15:45:00,10.15,"mg/L","G"
"65","FRK","DissolvedOxygen",2021-01-01 16:00:00,10.18,"mg/L","G"
"66","FRK","DissolvedOxygen",2021-01-01 16:15:00,10.23,"mg/L","G"
"67","FRK","DissolvedOxygen",2021-01-01 16:30:00,10.28,"mg/L","G"
"68","FRK","DissolvedOxygen",2021-01-01 16:45:00,10.33,"mg/L","G"
"69","FRK","DissolvedOxygen",2021-01-01 17:00:00,10.35,"mg/L","G"
"70","FRK","DissolvedOxygen",2021-01-01 17:15:00,10.34,"mg/L","G"
"71","FRK","DissolvedOxygen",2021-01-01 17:30:00,10.36,"mg/L","G"
"72","FRK","DissolvedOxygen",2021-01-01 17:45:00,10.34,"mg/L","G"
"73","FRK","DissolvedOxygen",2021-01-01 18:00:00,10.32,"mg/L","G"
"74","FRK","DissolvedOxygen",2021-01-01 18:15:00,10.32,"mg/L","G"
"75","FRK","DissolvedOxygen",2021-01-01 18:30:00,10.35,"mg/L","G"
"76","FRK","DissolvedOxygen",2021-01-01 18:45:00,10.27,"mg/L","G"
"77","FRK","DissolvedOxygen",2021-01-01 19:00:00,10.26,"mg/L","G"
"78","FRK","DissolvedOxygen",2021-01-01 19:15:00,10.18,"mg/L","G"
"79","FRK","DissolvedOxygen",2021-01-01 19:30:00,10.09,"mg/L","G"
"80","FRK","DissolvedOxygen",2021-01-01 19:45:00,9.99,"mg/L","G"
"81","FRK","DissolvedOxygen",2021-01-01 20:00:00,9.91,"mg/L","G"
"82","FRK","DissolvedOxygen",2021-01-01 20:15:00,9.86,"mg/L","G"
